Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
190;1;ESO;A;111;1;11;1;6.0;1.7999999999999998;6.181818181818182;1.250454462839956;1.515707952085713
190;1;ESO;A;111;2;11;1;6.0;0.7999999999999998;5.909090909090909;1.044465935734187;1.294545165844896
190;1;ESO;A;111;3;11;0;6.0;0.7999999999999998;6.0;0.8944271909999159;1.1209503926735833
209;1;ESO;B;112;1;11;1;6.0;0.7999999999999998;5.818181818181818;0.9816498172140428;1.0335620542068176
209;1;ESO;B;112;2;11;0;5.0;1.0;5.454545454545454;0.6875516509523286;0.8599672810355049
209;1;ESO;B;112;3;11;1;5.0;1.0;5.545454545454546;1.0357254813546264;1.162225544921092
202;1;ESO;B;112;1;11;2;7.0;0.7999999999999998;6.636363636363637;1.5015143870590966;1.294545165844896
202;1;ESO;B;112;2;11;1;7.0;2.0;6.909090909090909;1.5782614139961384;1.7201934592198251
202;1;ESO;B;112;3;11;0;7.0;2.8000000000000007;7.363636363636363;1.2862913567871994;1.3421131789144003
332;3;ESO;A;131;1;13;5;5.0;2.3;5.153846153846154;1.7246329970051524;1.564957250242801
332;3;ESO;A;131;2;13;4;5.0;2.0;5.076923076923077;1.1151635501529558;1.4583192224643482
332;3;ESO;A;131;3;13;4;5.0;2.3000000000000007;5.384615384615385;1.445594545418455;1.6977335913743925
325;3;ESO;A;131;1;13;8;4.0;1.3000000000000007;4.461538461538462;1.6132464481796025;1.5247073930301438
325;3;ESO;A;131;2;13;5;5.0;1.0;4.615384615384615;1.2608503439122303;1.4844575358174863
325;3;ESO;A;131;3;13;5;5.0;2.3;4.538461538461538;1.4500221041639683;1.4985690796770057
427;4;ESO;A;141;1;12;0;7.0;1.5500000000000007;7.416666666666667;1.2401124093721454;1.4241299173467734
427;4;ESO;A;141;2;12;0;8.0;2.0;8.0;1.348399724926484;1.5607104090414063
427;4;ESO;A;141;3;12;0;7.5;1.5500000000000007;7.666666666666667;1.2309149097933272;1.5171063970610272
41;1;BAC;B;212;1;10;1;7.5;1.1500000000000004;7.2;1.9888578520235063;1.6434177197931796
41;1;BAC;B;212;2;10;2;6.5;3.1000000000000005;6.6;2.2211108331943574;2.0253262207700673
41;1;BAC;B;212;3;10;1;7.5;3.0500000000000007;7.6;1.9550504398153572;1.7480673485460894
465;4;ESO;C;143;1;12;8;2.0;4.550000000000001;3.0833333333333335;2.274696116900546;1.6326309271543518
465;4;ESO;C;143;2;13;11;1.0;2.3000000000000007;2.3076923076923075;1.9315199276138029;1.4105135571148382
465;4;ESO;C;143;3;18;16;1.0;2.0;2.0555555555555554;1.6617574758359692;1.2449537211212136
438;4;ESO;B;142;1;12;3;5.0;2.1000000000000005;5.25;1.864744681524183;1.6987829895138011
438;4;ESO;B;142;2;12;5;5.0;4.0;5.0;1.8586407545691703;1.4735023850806486
